scenario_P1,scenario_Qg1,scenario_Qg2,scenario_AC1_Nom_1,scenario_AC1_Nom_2,scenario_AC1_Nom_3,scenario_AC1_Nom_4,scenario_AC1_Nom_5,scenario_AC1_Nom_6,scenario_AC1_MinTol_1,scenario_AC1_MinTol_2,scenario_AC1_MinTol_3,scenario_AC1_MinTol_4,scenario_AC1_MinTol_5,scenario_AC1_MinTol_6,scenario_AC1_MaxTol_1,scenario_AC1_MaxTol_2,scenario_AC1_MaxTol_3,scenario_AC1_MaxTol_4,scenario_AC1_MaxTol_5,scenario_AC1_MaxTol_6,scenario_AC2_Nom_1,scenario_AC2_Nom_2,scenario_AC2_Nom_3,scenario_AC2_Nom_4,scenario_AC2_Nom_5,scenario_AC2_Nom_6,scenario_AC2_MinTol_1,scenario_AC2_MinTol_2,scenario_AC2_MinTol_3,scenario_AC2_MinTol_4,scenario_AC2_MinTol_5,scenario_AC2_MinTol_6,scenario_AC2_MaxTol_1,scenario_AC2_MaxTol_2,scenario_AC2_MaxTol_3,scenario_AC2_MaxTol_4,scenario_AC2_MaxTol_5,scenario_AC2_MaxTol_6,scenario_DC_Nom_1,scenario_DC_Nom_2,scenario_DC_MinTol_1,scenario_DC_MinTol_2,scenario_DC_MaxTol_1,scenario_DC_MaxTol_2,solution_N_vw1,solution_N_vw2,solution_Qcab1_interm,solution_Qcab2_interm,solution_Qf1_interm,solution_Qf2,solution_Rdc,solution_Vac1,solution_Vac2,solution_Vdc1,solution_Xtr1_pu,solution_Xtr2_pu,solution_ucab1,solution_ucab2,solution_uf1,solution_uf2,solution_w1,solution_w2
1077000000,508000000,631000000,389000,314.159265358979,15000000,59000000,428000,0.13,-3,-3,-2,-4,-3,-5,3,3,4,1,2,3,406000,314.159265358979,19000000,55000000,448000,0.17,-1,-5,-1,-3,-3,-5,1,4,3,2,4,4,6,506000,-1,-3,1,4,415800,425700,18583218.6199185,16005353.6299949,52387359.9839109,47687997.7729414,0.800030811499827,360000,360000,318400,0.142499955924618,0.142499796835566,1,1,1,1,299.076084296456,358.416566475885
916000000,631000000,584000000,401000,314.159265358979,10000000,46000000,443000,0.15,-5,-3,-1,-3,-5,-3,2,4,5,5,4,1,381000,314.159265358979,17000000,60000000,429000,0.17,-3,-3,-1,-4,-3,-1,2,3,1,3,4,4,8,560000,-1,-2,2,2,415800,425700,17153698.8760396,20020312.8007181,50791675.2348807,43676550.5765556,0.879380494615213,360000,360000,318400,0.157460590709476,0.1425,1,1,1,1,303.703511191357,382.823087280168
839000000,547000000,548000000,380000,314.159265358979,29000000,49000000,439000,0.16,-2,-4,-5,-5,-2,-4,1,5,3,4,3,4,387000,314.159265358979,22000000,44000000,414000,0.16,-5,-3,-1,-4,-3,-1,2,2,2,3,5,2,9,530000,-3,-5,3,2,415800,425700,18810515.403852,18801781.7575503,47648552.1981163,51722766.5924435,0.8,360000,360000,318400,0.1425,0.1425,1,1,1,1,298.45130209103,358.141562509236
831000000,572000000,528000000,416000,314.159265358979,20000000,53000000,420000,0.17,-4,-1,-2,-4,-5,-4,3,5,2,2,3,1,405000,314.159265358979,16000000,48000000,439000,0.17,-4,-1,-3,-2,-2,-3,2,5,5,3,5,4,10,527000,-3,-3,2,5,415802.629840509,425700,18645784.112332,16132187.6209712,48569172.6839532,-23480.8139247029,1.17769038963766,360000,360000,318400,0.1425,0.1575,1,1,1,-0,317.557173059552,363.939220711967
1110000000,691000000,661000000,384000,314.159265358979,10000000,40000000,428000,0.12,-5,-2,-3,-1,-5,-2,2,5,3,2,5,3,415000,314.159265358979,17000000,47000000,421000,0.16,-4,-4,-4,-1,-5,-2,5,4,4,5,3,3,12,526000,-2,-1,4,5,415800,425700,23510949.2651689,16573946.0250351,52495336.6943553,47867920.7008762,0.800000505691372,360000,360000,318400,0.1424999600881,0.142501304417192,1,1,1,1,302.069676843705,358.172369202684
1181000000,658000000,566000000,416000,314.159265358979,12000000,55000000,421000,0.12,-5,-4,-2,-1,-5,-1,5,3,3,2,4,4,387000,314.159265358979,19000000,44000000,415000,0.18,-3,-2,-2,-2,-3,-5,5,1,4,3,1,1,12,600000,-3,-1,1,5,415800,425700,23835590.6198816,17798114.3748436,50984573.950318,47544813.3007289,0.8,360000,360000,318400,0.1425,0.1425,1,1,1,1,298.483013207381,358.46956463223
810000000,681000000,595000000,396000,314.159265358979,12000000,52000000,414000,0.18,-4,-2,-4,-2,-4,-3,1,4,2,1,5,2,408000,314.159265358979,29000000,55000000,446000,0.14,-2,-1,-4,-2,-2,-2,5,1,4,3,3,1,9,543000,-3,-4,4,5,415800,425700,23495184.3889026,16649246.4913902,51944905.6195346,48222102.8220688,0.800004599326465,360000,360000,318400,0.1425,0.1425,1,1,1,1,298.460435233318,358.350877031366
1151000000,513000000,674000000,411000,314.159265358979,29000000,58000000,448000,0.14,-2,-4,-3,-2,-2,-1,3,4,4,4,1,2,419000,314.159265358979,15000000,49000000,425000,0.17,-4,-5,-3,-5,-2,-3,5,2,4,5,3,5,11,534000,-3,-4,4,2,415800,425700,18673279.0514371,16222211.725761,49246561.8963562,47920730.3391692,0.799999994788808,360000,360000,318400,0.142501684424283,0.1425,1,1,1,1,300.280337231031,358.740521223166
840000000,655000000,502000000,410000,314.159265358979,17000000,59000000,437000,0.13,-3,-1,-2,-3,-1,-2,2,1,1,5,1,3,398000,314.159265358979,22000000,43000000,449000,0.15,-2,-4,-2,-3,-1,-1,2,5,4,2,4,4,9,533000,-2,-3,4,1,415800,425700,19954557.235629,16361261.7206497,51092504.7526925,47773389.5412665,0.8,360000,360000,318400,0.142553189243081,0.1425,1,1,1,1,298.579064673093,358.519255485371
1106000000,523000000,578000000,413000,314.159265358979,16000000,44000000,434000,0.15,-1,-2,-1,-2,-4,-1,5,5,2,5,5,2,415000,314.159265358979,15000000,53000000,436000,0.14,-1,-2,-3,-2,-4,-3,4,5,4,4,2,4,10,529000,-1,-2,1,4,415800,425700,19069745.4491796,16522959.3785918,51960524.1876045,47843042.7690198,0.800217223796046,360000,360000,318400,0.142504478782377,0.1425,1,1,1,1,299.577226073957,358.210957352625
1032000000,506000000,522000000,382000,314.159265358979,20000000,51000000,418000,0.16,-5,-5,-4,-5,-4,-3,4,5,2,2,2,2,395000,314.159265358979,23000000,54000000,447000,0.18,-5,-3,-4,-2,-4,-1,3,1,2,5,1,1,13,576000,-1,-5,3,3,415800,425700,21870591.1394234,16511893.7550274,52180385.789151,47831352.7636176,0.800178212546694,360000,360000,318400,0.142543938488286,0.14250437567115,1,1,1,1,298.795132439558,358.208272481824
877000000,603000000,690000000,387000,314.159265358979,25000000,51000000,436000,0.16,-2,-4,-5,-2,-2,-1,4,2,5,2,2,4,419000,314.159265358979,11000000,42000000,442000,0.15,-2,-5,-3,-5,-2,-5,1,3,2,5,2,1,9,578000,-4,-3,3,4,415800,425700,23008431.1622427,20209761.3887202,50372970.0126204,48198260.3986995,0.800005634028134,360000,360000,318400,0.142500951217838,0.142510397170912,1,1,1,1,298.451311483952,358.14562097861
1134000000,580000000,605000000,406000,314.159265358979,20000000,48000000,435000,0.17,-3,-2,-3,-2,-5,-1,4,5,1,1,2,1,414000,314.159265358979,20000000,57000000,439000,0.16,-4,-3,-4,-3,-4,-2,5,5,2,1,5,2,6,550000,-2,-1,3,2,415800,425700,24005979.3388682,18053371.8678931,50104102.6321428,48409697.6955799,0.814073701656841,360013.765516512,360000,318400,0.142525360629095,0.149258532076143,1,1,1,1,299.691410619357,358.155837619443
1046000000,535000000,560000000,407000,314.159265358979,14000000,49000000,444000,0.16,-5,-2,-4,-4,-1,-4,3,3,4,4,5,4,382000,314.159265358979,23000000,49000000,441000,0.16,-2,-5,-5,-4,-2,-1,1,1,4,5,4,5,6,506000,-5,-5,1,2,415800,425700,19560378.662392,16433881.8492409,50891385.6750698,50049532.263033,0.8,360000,360000,318400,0.1425,0.1425,1,1,1,1,298.45130209103,358.141562509236
1088000000,535000000,604000000,411000,314.159265358979,12000000,46000000,418000,0.18,-4,-2,-4,-1,-5,-1,1,5,2,4,3,1,420000,314.159265358979,14000000,52000000,411000,0.15,-1,-2,-5,-4,-2,-2,5,1,2,2,2,1,9,534000,-1,-1,5,3,415800,425700,20674939.1825415,16925754.519401,52304610.4672494,47576073.0061155,0.800049075064772,360000,360000,318400,0.142499837316938,0.142499999357299,1,1,1,1,298.616758930573,359.173212113278
1119000000,674000000,515000000,390000,314.159265358979,14000000,46000000,431000,0.14,-3,-1,-3,-2,-2,-5,4,1,2,5,4,1,401000,314.159265358979,20000000,58000000,416000,0.14,-3,-1,-5,-3,-1,-3,5,5,1,5,2,1,14,576000,-4,-4,3,3,415800,425700,23571858.4035849,16709163.4727159,50038966.8457024,48779464.808988,0.799999544855601,360000,360000,318400,0.142515594192057,0.142504934663669,1,1,1,1,298.63794887891,358.16088463529
1081000000,600000000,644000000,419000,314.159265358979,13000000,53000000,439000,0.14,-5,-2,-1,-1,-4,-4,2,4,3,3,3,3,382000,314.159265358979,21000000,51000000,439000,0.17,-5,-4,-2,-1,-2,-3,1,3,2,5,5,1,8,517000,-4,-1,5,4,415800,425700,20663957.1013978,17176078.5889077,47854126.2684717,49155179.2740789,0.8,360000,360000,318400,0.142505695348683,0.142874411415223,1,1,1,1,299.856938410524,358.141562509236
964000000,649000000,639000000,389000,314.159265358979,12000000,59000000,441000,0.17,-1,-1,-5,-2,-4,-2,2,3,3,5,2,4,400000,314.159265358979,14000000,51000000,444000,0.18,-4,-1,-4,-3,-3,-4,2,5,4,1,1,1,13,593000,-1,-3,1,1,415800,425700,21253160.1034781,16215033.304776,51466756.8769361,48133842.6120038,0.8,360000,360000,318400,0.1425,0.1425,1,1,1,1,298.563657768509,358.372853345824
1052000000,684000000,615000000,387000,314.159265358979,17000000,42000000,417000,0.15,-4,-4,-4,-1,-2,-3,5,2,4,2,5,4,385000,314.159265358979,28000000,42000000,413000,0.18,-2,-4,-2,-5,-3,-1,3,4,5,5,2,5,14,527000,-4,-4,4,2,415800,425700,21255495.7692096,17151045.8314628,47925151.4999986,47843220.7011611,0.8,360000,360000,318400,0.1425,0.1425,1,1,1,1,302.820564511369,358.141562509236
1026000000,557000000,576000000,401000,314.159265358979,11000000,51000000,418000,0.13,-3,-4,-2,-2,-2,-1,5,5,2,4,4,3,380000,314.159265358979,28000000,58000000,449000,0.18,-1,-1,-3,-2,-3,-5,1,3,5,5,1,4,12,566000,-3,-1,3,1,415800,425700,23851463.9054012,19788177.5998455,51320104.5648132,48425906.5567366,0.800031814020714,360000,360000,318400,0.142499720690367,0.14251855335032,1,1,1,1,298.453893484137,358.145020233344
964000000,547000000,585000000,390000,314.159265358979,22000000,59000000,447000,0.18,-2,-4,-4,-2,-3,-5,3,1,1,1,3,1,408000,314.159265358979,25000000,49000000,411000,0.16,-5,-5,-1,-3,-1,-3,5,2,4,5,1,2,9,537000,-2,-4,2,2,415800,425700,19693941.2139769,19460597.8959756,49194380.7062405,45623675.180892,1.18441171300469,360000,360000,318400,0.148656785768987,0.156072965190663,1,1,1,1,300.134109103121,375.929422051269
819000000,696000000,617000000,408000,314.159265358979,21000000,45000000,442000,0.17,-2,-3,-3,-3,-4,-3,5,2,1,4,1,1,390000,314.159265358979,25000000,51000000,449000,0.14,-4,-5,-2,-2,-3,-5,5,5,2,3,4,5,7,587000,-3,-5,1,5,415800,425700,21982207.3996568,18052664.055982,48561678.7697481,48600669.0593372,0.8,360000,360000,318400,0.1425,0.1425,1,1,1,1,299.228461673493,358.141562509236
1111000000,501000000,598000000,394000,314.159265358979,16000000,41000000,447000,0.13,-4,-5,-1,-2,-4,-2,4,5,3,5,1,2,417000,314.159265358979,11000000,43000000,438000,0.16,-5,-4,-1,-3,-2,-3,4,2,2,3,4,5,13,565000,-1,-1,5,3,415800,425700,21195890.6690735,16289392.4108863,51826888.9666951,48484709.249821,0.80000000809863,360000,360000,318400,0.14262134563549,0.142500274044795,1,1,1,1,298.454906819927,361.039131779664
1106000000,551000000,632000000,420000,314.159265358979,18000000,53000000,425000,0.14,-1,-5,-2,-1,-3,-3,1,5,3,2,3,5,420000,314.159265358979,24000000,45000000,422000,0.12,-2,-5,-5,-1,-1,-1,1,1,4,4,5,4,12,532000,-3,-5,2,2,422426.978853546,429625.618973192,19393728.2502023,19372834.9544849,50693925.4734273,47721697.4722121,0.8,385861.271487998,369943.590665601,319524.489564619,0.1425,0.1425,1,1,1,1,301.927503139189,358.141562509236
1133000000,649000000,669000000,417000,314.159265358979,30000000,44000000,421000,0.15,-3,-1,-4,-5,-5,-2,5,4,3,4,1,1,407000,314.159265358979,28000000,51000000,426000,0.16,-4,-1,-5,-4,-2,-1,5,2,2,5,5,5,5,531000,-4,-5,1,4,415800,425700,21554094.2482788,17202369.0855826,51860571.7246703,48899936.3860386,0.8,360000,360000,318400,0.142501079270465,0.142512115274888,1,1,1,1,298.526635535434,358.230493685739
